COLONIA,Geo Point,ALCALDIA
ASTURIAS (AMPL),"19.4071962945,-99.1310629695",CUAUHTEMOC
TEZONTITLA-ZOMPANTITLA,"19.3085274364,-99.0023174836",TLAHUAC
SAN PEDRO TLAHUAC (PBLO),"19.270261466,-99.0099630061",TLAHUAC
DEL RECREO,"19.472777425,-99.1841919942",AZCAPOTZALCO
SANTA FE,"19.3892631023,-99.2318957161",ALVARO OBREGON
SANTA ROSA XOCHIAC (PBLO),"19.3251586908,-99.2891880497",ALVARO OBREGON
TLACOYAQUE,"19.3214908934,-99.2651873681",ALVARO OBREGON
RINCON DE LA BOLSA,"19.3316570659,-99.2528410078",ALVARO OBREGON
CORPUS CHRISTY,"19.3609605736,-99.2476688989",ALVARO OBREGON
BEJERO,"19.3811650716,-99.2454853927",ALVARO OBREGON
SAN PEDRO XALPA (AMPL) I,"19.4806755242,-99.2163596006",AZCAPOTZALCO
CANUTILLO PREDIO LA PRESA,"19.3623858593,-99.2310774136",ALVARO OBREGON
BATALLON DE SAN PATRICIO (U HAB),"19.3715551921,-99.2065236645",ALVARO OBREGON
LA CRUZ,"19.4038142186,-99.1163623069",IZTACALCO
MOSCO CHINAMPA,"19.3892461547,-99.1003711",IZTACALCO
PICOS IZTACALCO 1B,"19.3890307661,-99.1107883223",IZTACALCO
GOLONDRINAS 2DA SECCION,"19.3764226922,-99.2170741343",ALVARO OBREGON
GRAL C  A  MADRAZO,"19.3789240595,-99.2513109087",ALVARO OBREGON
LADERA GRANDE O LA CEBADITA,"19.3805522891,-99.2370712397",ALVARO OBREGON
LOMAS DE BECERRA ARVIDE (U HAB),"19.3830770974,-99.2068954912",ALVARO OBREGON
CENTRO III,"19.4367707124,-99.1284523074",CUAUHTEMOC
REFORMA POLITICA I,"19.3374735259,-99.0289387026",IZTAPALAPA
SAN JOSE ACULCO,"19.3763523321,-99.1003524115",IZTAPALAPA
SAN PEDRO (BARR),"19.3655780363,-99.084795493",IZTAPALAPA
SAN JOSE BUENAVISTA,"19.3204648149,-99.0343956858",IZTAPALAPA
SAN NICOLAS TOLENTINO II,"19.3285912353,-99.0866038961",IZTAPALAPA
SINATEL,"19.3612361681,-99.1322961236",IZTAPALAPA
EMILIANO ZAPATA (AMPL),"19.3369686806,-98.9771221812",IZTAPALAPA
LA POLVORILLA,"19.3211531804,-99.0481832532",IZTAPALAPA
GUADALUPE (BARR),"19.3123505819,-99.0712746567",IZTAPALAPA
JARDINES DE CHURUBUSCO,"19.3750935956,-99.1065419706",IZTAPALAPA
GRANJAS ESTRELLA II,"19.3290512262,-99.0874920149",IZTAPALAPA
LOMAS DE ZARAGOZA,"19.3535505274,-98.9974302415",IZTAPALAPA
LEYES DE REFORMA 1A SECCION,"19.3610979639,-99.0710524141",IZTAPALAPA
1A AMPLIACION SANTIAGO ACAHUALTEPEC,"19.3522227188,-99.0080836002",IZTAPALAPA
ZACAHUITZCO,"19.3744993934,-99.1341858757",IZTAPALAPA
TORRE BLANCA (AMPL),"19.454722061,-99.1998072368",MIGUEL HIDALGO
BOSQUES DE LAS LOMAS,"19.387664635,-99.257009164",CUAJIMALPA DE MORELOS
LOMAS DE VISTA HERMOSA,"19.3780779931,-99.2730173158",CUAJIMALPA DE MORELOS
1o DE MAYO,"19.3392611311,-99.3231057374",CUAJIMALPA DE MORELOS
SAN PEDRO CUAJIMALPA (PBLO),"19.3566633045,-99.2986516771",CUAJIMALPA DE MORELOS
HEROES DE PADIERNA,"19.3133186911,-99.2244598454",LA MAGDALENA CONTRERAS
SAN FRANCISCO,"19.3121234935,-99.2320678282",LA MAGDALENA CONTRERAS
SAN BARTOLO AMEYALCO,"19.3269448397,-99.2445292328",LA MAGDALENA CONTRERAS
CAZULCO (BARR),"19.2930570398,-99.2570721564",LA MAGDALENA CONTRERAS
CAMPESTRE POTRERO,"19.3300361384,-98.9782838499",IZTAPALAPA
CITLALLI,"19.3406263956,-99.0228799803",IZTAPALAPA
EL MANTO,"19.3494810302,-99.0824855308",IZTAPALAPA
IZTACCIHUATL,"19.3901661043,-99.1356606612",BENITO JUAREZ
CREDITO CONSTRUCTOR,"19.3649337395,-99.1803228599",BENITO JUAREZ
CIUDAD DE LOS DEPORTES,"19.3833904099,-99.1800637001",BENITO JUAREZ
MIGUEL ALEMAN,"19.38979443,-99.1445299791",BENITO JUAREZ
AO DE JUAREZ,"19.3196159253,-99.0733441061",IZTAPALAPA
NONOALCO-TLATELOLCO (U HAB) I,"19.4549126344,-99.1480851254",CUAUHTEMOC
ALBARRADAS (U HAB),"19.3568039527,-99.0619454061",IZTAPALAPA
DOCTORES IV,"19.4119151507,-99.1518458397",CUAUHTEMOC
ARGENTINA ANTIGUA,"19.4555189573,-99.2070212923",MIGUEL HIDALGO
EMILIANO ZAPATA (AMPL),"19.4641815773,-99.105828887",GUSTAVO A. MADERO
CHURUBUSCO TEPEYAC,"19.487318877,-99.1377347959",GUSTAVO A. MADERO
PETROLERA,"19.4851563111,-99.1999936446",AZCAPOTZALCO
NUEVO SAN RAFAEL (BARR),"19.489087629,-99.1879981053",AZCAPOTZALCO
AMPLIACION MIGUEL HIDALGO 3A SECC,"19.2800027786,-99.2067698443",TLALPAN
CALVARIO CAMISETAS,"19.2886860704,-99.1771884226",TLALPAN
HACIENDA SAN JUAN-RINCON DE SAN JUAN-CHIMALI,"19.2894943988,-99.1431131067",TLALPAN
COAPA 2A SECCION-RAMOS MILLAN,"19.2993295549,-99.1178052058",TLALPAN
GABRIEL HERNANDEZ (AMPL) I,"19.5033996519,-99.0976794122",GUSTAVO A. MADERO
NUEVA ATZACOALCO III,"19.4933070974,-99.0893699551",GUSTAVO A. MADERO
SAN JUAN DE ARAGON (PBLO),"19.4691610894,-99.0833866338",GUSTAVO A. MADERO
VILLA GUSTAVO A MADERO,"19.4838855728,-99.1136012969",GUSTAVO A. MADERO
SAN JOSE DE LA ESCALERA,"19.5263898566,-99.1654305574",GUSTAVO A. MADERO
TLACAELEL,"19.5577777751,-99.1441062375",GUSTAVO A. MADERO
LA PURISIMA TICOMAN (BARR),"19.513327401,-99.1371192044",GUSTAVO A. MADERO
LOMAS DE SAN JUAN IXHUATEPEC (2A SECCION),"19.5093487457,-99.1085231417",GUSTAVO A. MADERO
MALVINAS MEXICANAS,"19.4698714296,-99.063912307",GUSTAVO A. MADERO
SANTIAGO TULYEHUALCO (PBLO),"19.2560114785,-99.0143000988",XOCHIMILCO
TEPEPAN (AMPL),"19.2633712219,-99.1336360059",XOCHIMILCO
INFONAVIT PROLONGACION DIVISION DEL NORTE (U HAB),"19.2715565489,-99.1167313946",XOCHIMILCO
LOS CERRILLOS III,"19.2494911782,-99.0228226924",XOCHIMILCO
SANTA URSULA XITLA,"19.2807278004,-99.1786759609",TLALPAN
PARRES EL GUARDA (PBLO),"19.1334723731,-99.1738871434",TLALPAN
PRADO COAPA 3A SECCION-POTRERO ACOXPA,"19.2928840662,-99.1332307163",TLALPAN
PEDREGAL DE LAS AGUILAS,"19.2718448318,-99.1757698606",TLALPAN
ROCA DE CRISTAL,"19.2758238496,-99.1875612866",TLALPAN
ALTOS TEPETLICA,"19.2290416906,-99.1480639641",XOCHIMILCO
VILLA DEL PUENTE FOVISSSTE  (U HAB),"19.2967187981,-99.1062945383",TLALPAN
GERTRUDIS SANCHEZ 2A SECCION,"19.4661163616,-99.0994156082",GUSTAVO A. MADERO
FERNANDO CASAS ALEMAN,"19.4524549794,-99.0959567289",GUSTAVO A. MADERO
LA JOYA,"19.4570227241,-99.1088045338",GUSTAVO A. MADERO
NARCISO MENDOZA-VILLA COAPA SUPER MANZANA 6 (U HAB),"19.2929862754,-99.1223852106",TLALPAN
LA JOYA,"19.2809613683,-99.1644683679",TLALPAN
LOS PASTORES,"19.197677655,-99.1513205563",TLALPAN
IGNACIO CHAVEZ (U HAB),"19.296886063,-99.1043494595",TLALPAN
LOS REYES,"19.3962000156,-99.1163534082",IZTACALCO
EL RODEO,"19.3934358221,-99.0853362419",IZTACALCO
AGUILAS 3ER PARQUE,"19.3526558934,-99.2200819351",ALVARO OBREGON
ATLAMAYA,"19.3504605596,-99.2024453227",ALVARO OBREGON
SAN PABLO XALPA (U HAB),"19.5052057666,-99.1862562802",AZCAPOTZALCO
SAN MATEO,"19.483157965,-99.1915338784",AZCAPOTZALCO
CENTRO DE AZCAPOTZALCO,"19.4811765098,-99.1863123775",AZCAPOTZALCO
LA ESTACION,"19.3112429734,-99.0419860286",TLAHUAC
GRANJAS CABRERA,"19.2999681697,-99.0628198932",TLAHUAC
SANTA CATARINA (AMPL),"19.3215055118,-98.9624864705",TLAHUAC
AGRICOLA ORIENTAL II,"19.3959920928,-99.0768078539",IZTACALCO
SAN PEDRO IZTACALCO,"19.3941969308,-99.1292771199",IZTACALCO
PICOS IZTACALCO 2A,"19.3883499483,-99.1066283945",IZTACALCO
BOSQUES DE TARANGO,"19.3471400096,-99.2540363753",ALVARO OBREGON
AVE REAL,"19.3616916387,-99.2378476327",ALVARO OBREGON
AVE REAL (AMPL),"19.3629686178,-99.2349632079",ALVARO OBREGON
EL BOSQUE 2DA SECCION (AMPL),"19.3913132011,-99.200348314",ALVARO OBREGON
EL RODEO,"19.3805177662,-99.2085422334",ALVARO OBREGON
EL BOSQUE,"19.3928429751,-99.1972262323",ALVARO OBREGON
EL ROSARIO B (U HAB),"19.5122894348,-99.2014627166",AZCAPOTZALCO
EL ROSARIO A (U HAB),"19.5109971625,-99.2075383458",AZCAPOTZALCO
FERRERIA (U HAB),"19.4986990852,-99.1768064096",AZCAPOTZALCO
ISSFAM LAS ARMAS (U HAB),"19.4856172582,-99.2164567554",AZCAPOTZALCO
FUENTES DE AZCAPOTZALCO-PARQUES DE AZCAPOTZALCO (U HAB),"19.4750259943,-99.189716297",AZCAPOTZALCO
FLORIDA,"19.3570724615,-99.1803573802",ALVARO OBREGON
LA HUERTA,"19.378785986,-99.2397056318",ALVARO OBREGON
LOMAS DE LA ERA,"19.3211369234,-99.2626670718",ALVARO OBREGON
MERCED GOMEZ,"19.3648350491,-99.2027877592",ALVARO OBREGON
LOMAS DE LAS AGUILAS,"19.3465007437,-99.2358524117",ALVARO OBREGON
MIGUEL HIDALGO,"19.3356095388,-99.2175849572",ALVARO OBREGON
SANTA MARIA INSURGENTES,"19.4616940155,-99.1487845392",CUAUHTEMOC
VILLA PROGRESISTA,"19.3559605378,-99.2424567321",ALVARO OBREGON
ZOTOLTITLA,"19.3516610323,-99.2340982829",ALVARO OBREGON
TORRES SAN PEDRO (U HAB),"19.3920276424,-99.1929531179",ALVARO OBREGON
SAN GABRIEL,"19.379400292,-99.2559347626",ALVARO OBREGON
TLAPECHICO,"19.3784995996,-99.2441419398",ALVARO OBREGON
OCOTILLOS,"19.340395237,-99.2387141221",ALVARO OBREGON
TORRES DE POTRERO,"19.3299977251,-99.2489825107",ALVARO OBREGON
MIGUEL DE LA MADRID HURTADO,"19.3436636595,-99.0031457223",IZTAPALAPA
PROGRESISTA,"19.3565390093,-99.0677555447",IZTAPALAPA
INSURGENTES,"19.3311127258,-99.0535903135",IZTAPALAPA
LAS AMERICAS (U HAB),"19.3574678844,-99.0637556423",IZTAPALAPA
CUITLAHUAC (U HAB),"19.3435008473,-99.063493347",IZTAPALAPA
SANTA MARIA LA RIBERA I,"19.4529587649,-99.1581421108",CUAUHTEMOC
CE CUALLI OHTLI (U HAB),"19.2917317756,-99.0730484336",IZTAPALAPA
FUEGO NUEVO,"19.332680198,-99.099003631",IZTAPALAPA
EL MIRADOR,"19.3363639036,-99.0977812089",IZTAPALAPA
GRANJAS SAN ANTONIO,"19.3635725401,-99.1071949508",IZTAPALAPA
GAVILAN (U HAB),"19.3588477846,-99.0749983474",IZTAPALAPA
SAN NICOLAS TOLENTINO I,"19.3279607531,-99.0719007783",IZTAPALAPA
SAN PABLO (BARR),"19.3589395065,-99.089076769",IZTAPALAPA
SANTA MARTHA ACATITLA SUR (AMPL),"19.3643572184,-99.0211897528",IZTAPALAPA
TLANEZICALLI (U HAB),"19.2907722709,-99.0750933752",IZTAPALAPA
VALLE DE LUCES I,"19.3392919976,-99.0981583347",IZTAPALAPA
VALLE DE LUCES II,"19.3398611262,-99.1047081057",IZTAPALAPA
VALLE DEL SUR,"19.3478349377,-99.1149625504",IZTAPALAPA
SAN JUAN XALPA II,"19.3341736263,-99.0806408261",IZTAPALAPA
SAN MIGUEL TEOTONGO II,"19.3455275511,-98.9886713112",IZTAPALAPA
SANTA MARIA AZTAHUACAN (EJ) I,"19.3592549794,-99.0326514487",IZTAPALAPA
2A AMPLIACION SANTIAGO ACAHUALTEPEC I,"19.3494152675,-99.0139555547",IZTAPALAPA
TENORIOS (AMPL),"19.3248133786,-99.0210404377",IZTAPALAPA
CRUZ BLANCA,"19.3136046799,-99.3224310568",CUAJIMALPA DE MORELOS
EL YAQUI,"19.3616500112,-99.2834274349",CUAJIMALPA DE MORELOS
LA PILA,"19.3108361744,-99.3358448413",CUAJIMALPA DE MORELOS
EL GAVILLERO,"19.2812605506,-99.2554739881",LA MAGDALENA CONTRERAS
PUEBLO NUEVO ALTO,"19.3043527761,-99.2531327647",LA MAGDALENA CONTRERAS
PUENTE SIERRA,"19.3310832851,-99.212183564",LA MAGDALENA CONTRERAS
SAN FRANCISCO (BARR),"19.3125851888,-99.2366074713",LA MAGDALENA CONTRERAS
VISTA HERMOSA,"19.3127410831,-99.2534158751",LA MAGDALENA CONTRERAS
CENTRO URBANO PRESIDENTE ALEMAN (U HAB),"19.3709709051,-99.1720773809",BENITO JUAREZ
GENERAL PEDRO MARIA ANAYA,"19.3604816772,-99.1587725365",BENITO JUAREZ
SAN JOSE INSURGENTES,"19.3665119663,-99.1854669048",BENITO JUAREZ
DEL VALLE IV,"19.3823000837,-99.1672694745",BENITO JUAREZ
ANAHUAC LOS MANZANOS,"19.4458752755,-99.1844556553",MIGUEL HIDALGO
ANGEL ZIMBRON,"19.4628012605,-99.189366828",MIGUEL HIDALGO
CHAPULTEPEC POLANCO (POLANCO),"19.4291832801,-99.1968723529",MIGUEL HIDALGO
DANIEL GARZA,"19.4051032197,-99.1990350528",MIGUEL HIDALGO
LOS MORALES (POLANCO),"19.4372437076,-99.209970901",MIGUEL HIDALGO
NEXTITLA,"19.4556030204,-99.1734535301",MIGUEL HIDALGO
SAN DIEGO OCOYOACAC,"19.4677595999,-99.1968055621",MIGUEL HIDALGO
TACUBA,"19.4563586061,-99.1870918714",MIGUEL HIDALGO
TACUBAYA,"19.4006032464,-99.1878812024",MIGUEL HIDALGO
ATLANTIDA,"19.3406690541,-99.1461752185",COYOACAN
HACIENDAS DE COYOACAN (FRACC),"19.3028990497,-99.1121520766",COYOACAN
INFONAVIT CULHUACAN ZONA 3 (U HAB),"19.3277685072,-99.1185970528",COYOACAN
JARDINES DE COYOACAN (FRACC),"19.3138766032,-99.1269428754",COYOACAN
CENTRO URBANO (U HAB),"19.306775491,-99.1744131397",COYOACAN
AARON SAENZ,"19.4130523055,-99.1231427915",VENUSTIANO CARRANZA
AMPL CARACOL,"19.4287474093,-99.0681509303",VENUSTIANO CARRANZA
MERCED BALBUENA,"19.4203027064,-99.1237598471",VENUSTIANO CARRANZA
PRIMERO DE MAYO,"19.4455700694,-99.1015708187",VENUSTIANO CARRANZA
ROMERO RUBIO,"19.442250268,-99.0970501609",VENUSTIANO CARRANZA
CENTRO I,"19.4328219759,-99.1223758498",VENUSTIANO CARRANZA
AHUEHUETES,"19.5459584432,-99.1313543451",GUSTAVO A. MADERO
COOPERATIVA LUIS ENRIQUE RODRGUEZ OROZCO (U HAB),"19.5305341305,-99.1422830569",GUSTAVO A. MADERO
LA JOYITA,"19.4654895799,-99.11695945",GUSTAVO A. MADERO
LA PRADERA I (U HAB),"19.4742930011,-99.0626701827",GUSTAVO A. MADERO
RESIDENCIAL LA ESCALERA (FRACC),"19.5087694126,-99.1370131231",GUSTAVO A. MADERO
MARTIRES DE RIO BLANCO,"19.4600864209,-99.1137048528",GUSTAVO A. MADERO
PANAMERICANA (AMPL),"19.4772089137,-99.1411565566",GUSTAVO A. MADERO
LA CASILDA,"19.5552377202,-99.1228214553",GUSTAVO A. MADERO
GUADALUPE PROLETARIA (AMPL),"19.5218195062,-99.1518191542",GUSTAVO A. MADERO
EMILIANO ZAPATA,"19.4614825913,-99.1179257952",GUSTAVO A. MADERO
FAJA DE ORO,"19.4658842506,-99.105109614",GUSTAVO A. MADERO
FOVISSSTE RIO DE GUADALUPE (U HAB),"19.4728459857,-99.0883985149",GUSTAVO A. MADERO
XICALHUACAN,"19.2535524342,-99.0808150209",XOCHIMILCO
SAN JUAN (BARR),"19.2664665637,-99.106800049",XOCHIMILCO
SAN JOSE LAS PERITAS,"19.2727339475,-99.1243007487",XOCHIMILCO
PROGRESO NACIONAL II,"19.517889723,-99.1515697765",GUSTAVO A. MADERO
CHALMA DE GUADALUPE I,"19.5568422715,-99.1524675781",GUSTAVO A. MADERO
51 LEGISLATURA,"19.4834979487,-99.0930381289",GUSTAVO A. MADERO
SAN GREGORIO ATLAPULCO (PBLO),"19.2603636603,-99.0545280376",XOCHIMILCO
SAN FRANCISCO TLALNEPANTLA (PBLO),"19.1809191404,-99.1172533403",XOCHIMILCO
LOS CERRILLOS II,"19.24386363,-99.0174003453",XOCHIMILCO
SAN FRANCISCO CHIQUIMOLA,"19.2437393829,-99.0250960661",XOCHIMILCO
LOMAS DE TEXCALATLACO,"19.2388369545,-99.1525756282",TLALPAN
FLORESTA-PRADO-VERGEL COAPA,"19.3030717807,-99.1284415001",TLALPAN
EMILIO PORTES GIL PEMEX PICACHO (U HAB),"19.3018283538,-99.2196003578",TLALPAN
FRESNO,"19.2777648351,-99.1899957163",TLALPAN
SAN MIGUEL TEHUISCO-LOS ANGELES-AYOMETITLA,"19.210906922,-99.1584320216",TLALPAN
NARCISO MENDOZA-VILLA COAPA SUPER MANZANA 7 (U HAB),"19.2907538355,-99.1237808711",TLALPAN
SAN BARTOLO EL CHICO,"19.2844659144,-99.1325173478",TLALPAN
PUEBLO QUIETO,"19.2982806376,-99.1594924821",TLALPAN
AMPLIACION MIGUEL HIDALGO 2A SECC,"19.2824813125,-99.1978261289",TLALPAN
CHICHICASPATL,"19.2758011618,-99.2435220526",TLALPAN
AHUACATITLA,"19.2081173719,-99.1647116856",TLALPAN
CHIMILLI,"19.2688365879,-99.2192686138",TLALPAN
CUILOTEPEC II,"19.2678821532,-99.2315252649",TLALPAN
SAN PABLO OZTOTEPEC (PBLO),,MILPA ALTA
SAN JUAN Y GUADALUPE TICOMAN (BARR),"19.5210760958,-99.1297026043",GUSTAVO A. MADERO
SIETE MARAVILLAS,"19.5153715011,-99.1449780013",GUSTAVO A. MADERO
XAXALIPAC,"19.1871361771,-99.1436974012",TLALPAN
SAN PEDRO APOSTOL (BARR),"19.295944569,-99.1740342936",TLALPAN
VILLA COAPA (RDCIAL),"19.2896524789,-99.1189445396",TLALPAN
DEL MAR NORTE,"19.2934455727,-99.0568349901",TLAHUAC
FRANCISCO VILLA,"19.2488962528,-99.0013216913",TLAHUAC
PARAISO SANTA CATARINA,"19.3238095302,-98.9769201262",TLAHUAC
EL MIRADOR - SANTA CATARINA,"19.3124555463,-98.9730590579",TLAHUAC
ALFONSO XIII,"19.376324246,-99.1953893317",ALVARO OBREGON
SAN MARCOS (BARR),"19.4884891041,-99.1832352016",AZCAPOTZALCO
SANTA LUCIA (BARR),"19.4782165936,-99.1970573157",AZCAPOTZALCO
SAN  MIGUEL AMANTLA (PBLO),"19.4753364825,-99.2041463318",AZCAPOTZALCO
HOGAR Y SEGURIDAD/NUEVA SANTA MARIA,"19.4685750161,-99.1684253459",AZCAPOTZALCO
MIGUEL HIDALGO (U HAB),"19.493556967,-99.1985882261",AZCAPOTZALCO
OBRERO POPULAR,"19.4639502989,-99.1746635362",AZCAPOTZALCO
PAULINO NAVARRO,"19.4117075418,-99.1299500041",CUAUHTEMOC
SANTA FE (U HAB),"19.3885910972,-99.2065019762",ALVARO OBREGON
REACOMODO PINO SUAREZ,"19.3958443317,-99.2044798053",ALVARO OBREGON
LOS CEDROS,"19.3636765984,-99.2385158409",ALVARO OBREGON
COVE,"19.4013337721,-99.197523785",ALVARO OBREGON
FRANCISCO VILLA,"19.384008504,-99.2038288823",ALVARO OBREGON
JALALPA (AMPL),"19.3778693046,-99.2331386165",ALVARO OBREGON
CAROLA,"19.3856884328,-99.1965377288",ALVARO OBREGON
ARTURO GAMIZ,"19.3552972342,-99.2549931716",ALVARO OBREGON
TETELPAN,"19.3410225564,-99.2329466031",ALVARO OBREGON
LOMAS DE PLATEROS (U HAB) I,"19.3675783145,-99.205523905",ALVARO OBREGON
TLACOPAC,"19.3548552068,-99.1941742536",ALVARO OBREGON
TLACOYAQUE (AMPL),"19.3218375279,-99.2687710311",ALVARO OBREGON
ALGARIN,"19.4055862513,-99.1402683369",CUAUHTEMOC
TEJOCOTE,"19.3828144788,-99.2177635982",ALVARO OBREGON
GOLONDRINAS 1RA SECCION,"19.3806357263,-99.2114366361",ALVARO OBREGON
HERON PROAL,"19.3580600774,-99.2300822984",ALVARO OBREGON
GUADALUPE INN,"19.3567751115,-99.1872242695",ALVARO OBREGON
LA MILAGROSA,"19.3504216485,-99.2379959471",ALVARO OBREGON
INFONAVIT IZTACALCO (U HAB) I,"19.3854482486,-99.1064197736",IZTACALCO
AGRICOLA METROPOLITANA,"19.2908559361,-99.0525423524",TLAHUAC
AGRICOLA ORIENTAL V,"19.3945154464,-99.0693355144",IZTACALCO
GUERRERO III,"19.4421924076,-99.1460093369",CUAUHTEMOC
NUEVA ARGENTINA (ARGENTINA PONIENTE),"19.4626872812,-99.2040722382",MIGUEL HIDALGO
CAFETALES II (RDCIAL),"19.3078478691,-99.1064917405",COYOACAN
PORTAL DEL SOL,"19.350576986,-99.2695921683",CUAJIMALPA DE MORELOS
EL OCOTAL,"19.2990530115,-99.2622348848",LA MAGDALENA CONTRERAS
TEPETONGO,"19.3772949301,-99.2909603903",CUAJIMALPA DE MORELOS
VALLE DE SAN LORENZO I,"19.2975252584,-99.0772569339",IZTAPALAPA
JUAN ESCUTIA III,"19.3862594268,-99.0324549665",IZTAPALAPA
MIXCOATL,"19.3250111235,-99.0480103031",IZTAPALAPA
RINCONADA EL MOLINO,"19.2870150998,-99.0685832866",IZTAPALAPA
PORTALES I,"19.3709523603,-99.1500150172",BENITO JUAREZ
NARVARTE VI,"19.3868932017,-99.1503848461",BENITO JUAREZ
SAN NICOLAS TOTOLAPAN,"19.2991944889,-99.2362662641",LA MAGDALENA CONTRERAS
EL ROSAL,"19.3097152716,-99.2503407721",LA MAGDALENA CONTRERAS
LAS CALLES (BARR),"19.3035994547,-99.2339729628",LA MAGDALENA CONTRERAS
FRANCISCO VILLA,"19.3371663338,-99.0592465929",IZTAPALAPA
LOS REYES (PBLO),"19.3457549503,-99.109521052",IZTAPALAPA
LOS PICOS VI B,"19.3795500051,-99.1040528918",IZTAPALAPA
LA ASUNCION (BARR),"19.3636219636,-99.0919153391",IZTAPALAPA
JOSE MA MORELOS Y PAVON (U HAB),"19.3740018974,-99.0270806709",IZTAPALAPA
MONTE ALBAN,"19.3544454188,-99.0203560462",IZTAPALAPA
DEGOLLADO,"19.3193415272,-99.0423845272",IZTAPALAPA
CHINAMPAS DE SANTA MA TOMATLAN,"19.308606554,-99.0902052463",IZTAPALAPA
"EJTO CONSTITUCIONALISTA, SUPERMANZANA III (U HAB)","19.3822715829,-99.0529935808",IZTAPALAPA
DEGOLLADO CHICO,"19.3182942908,-99.0383079924",IZTAPALAPA
ESTADO DE VERACRUZ,"19.3507055836,-99.0885925164",IZTAPALAPA
ANTORCHA POPULAR I (U HAB),"19.3836905737,-99.0430503343",IZTAPALAPA
NONOALCO,"19.3817607921,-99.1882334724",BENITO JUAREZ
MERCED GOMEZ,"19.3656419697,-99.1899279145",BENITO JUAREZ
INSURGENTES SAN BORJA,"19.3835263941,-99.1740464393",BENITO JUAREZ
"BOSQUE DE CHAPULTEPEC I, II Y III SECCIONES","19.4144382478,-99.2006433285",MIGUEL HIDALGO
OXTOPULCO UNIVERSIDAD,"19.3420090691,-99.1826267508",COYOACAN
VILLA PANAMERICANA 1ERA. SECCIN (U HAB),"19.3057303242,-99.1778847698",COYOACAN
XOTEPINGO,"19.3282208263,-99.1406214242",COYOACAN
ALIANZA POPULAR REVOLUCIONARIA ORIENTE (U HAB),"19.3141216711,-99.1170744341",COYOACAN
AQUILES SERDAN,"19.4470813778,-99.0916813571",VENUSTIANO CARRANZA
CUCHILLA PANTITLAN,"19.4220541673,-99.0636202555",VENUSTIANO CARRANZA
EL PARQUE,"19.423313211,-99.1178022279",VENUSTIANO CARRANZA
MOCTEZUMA 2A SECCION IV,"19.4265219668,-99.0977018033",VENUSTIANO CARRANZA
EMILIANO ZAPATA (U HAB),"19.317543698,-99.1103504105",COYOACAN
CANAL NACIONAL (U HAB),"19.3083372143,-99.1006815834",COYOACAN
INFONAVIT CULHUACAN ZONA 1 (U HAB),"19.3320134552,-99.1193563927",COYOACAN
INSURGENTES CUICUILCO,"19.3073791598,-99.1836109872",COYOACAN
LAS TROJES COAPA (U HAB),"19.3079906933,-99.1392191223",COYOACAN
LAS AGUILAS (AMPL),"19.351175309,-99.2135955314",ALVARO OBREGON
LA JOYA,"19.3847079384,-99.2095397086",ALVARO OBREGON
LAS AGUILAS SECC HORNOS,"19.3621132173,-99.2048267506",ALVARO OBREGON
MIGUEL HIDALGO,"19.2944132376,-99.0480962354",TLAHUAC
UNIDADES HABITACIONALES DE SANTA ANA PONIENTE I,"19.306275306,-99.0486782031",TLAHUAC
AGRICOLA ORIENTAL III,"19.3904759103,-99.0758818891",IZTACALCO
REFORMA IZTACCIHUATL SUR,"19.3776166248,-99.1287586577",IZTACALCO
SANTIAGO SUR,"19.3877008951,-99.1255247632",IZTACALCO
SANTA CRUZ,"19.388226093,-99.1204058547",IZTACALCO
LA PRECIOSA,"19.4866371814,-99.1940941265",AZCAPOTZALCO
FRANCISCO VILLA (U HAB),"19.4980510665,-99.2045588529",AZCAPOTZALCO
SAN FRANCISCO XOCOTITLA,"19.4683612763,-99.1467155297",AZCAPOTZALCO
PANTACO (U HAB),"19.4857456977,-99.1729497282",AZCAPOTZALCO
ACUILOTLA,"19.3596051055,-99.2437815005",ALVARO OBREGON
ALPES,"19.3605023159,-99.1939575985",ALVARO OBREGON
SAN PEDRO XALPA (PBLO),"19.4840383721,-99.2098621504",AZCAPOTZALCO
ARBOLEDAS POLITOCO,"19.3631883056,-99.2456806326",ALVARO OBREGON
UN HOGAR PARA CADA TRABAJADOR,"19.4739677662,-99.1761372904",AZCAPOTZALCO
SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),"19.5010241784,-99.1856873509",AZCAPOTZALCO
LOMAS DE TETELPAN,"19.3451072586,-99.2177291906",ALVARO OBREGON
MARGARITA M DE JUAREZ,"19.3821264874,-99.2364652752",ALVARO OBREGON
FLOR DE MARIA,"19.3498848933,-99.2049984757",ALVARO OBREGON
EL PIRU (FRACC),"19.3803790252,-99.2179611902",ALVARO OBREGON
TEPEACA (AMPL),"19.3608866119,-99.2344788339",ALVARO OBREGON
REACOMODO EL CUERNITO,"19.3824628711,-99.207543001",ALVARO OBREGON
TLACUITLAPA 2DO REACOMODO (AMPL),"19.3544107225,-99.2353367266",ALVARO OBREGON
LOMAS DE PLATEROS (U HAB) II,"19.3687818663,-99.1959884765",ALVARO OBREGON
UNIDAD POPULAR TEPEACA,"19.3591552591,-99.2396618895",ALVARO OBREGON
2DA EL PIRUL (AMPL),"19.3797495931,-99.2421013234",ALVARO OBREGON
DEL OBRERO,"19.5000707607,-99.0911664098",GUSTAVO A. MADERO
