COLONIA,Geo Point,ALCALDIA
XOPA (U HAB),"19.3603783924,-99.1250671758",IZTAPALAPA
USCOVI (U HAB),"19.294002991,-99.0689524006",IZTAPALAPA
NARVARTE V,"19.3860505701,-99.1571597677",BENITO JUAREZ
PORTALES III,"19.3632112784,-99.1488866713",BENITO JUAREZ
DEL VALLE VII,"19.3681360911,-99.1713258057",BENITO JUAREZ
SAN PABLO CHIMALPA (PBLO),"19.3508879239,-99.321227559",CUAJIMALPA DE MORELOS
CORREDOR SANTA FE,"19.3602067583,-99.2716358348",CUAJIMALPA DE MORELOS
TEXCALCO,"19.3271645363,-99.332264713",CUAJIMALPA DE MORELOS
LAS TINAJAS,"19.3553597132,-99.2823610237",CUAJIMALPA DE MORELOS
INDEPENDENCIA BATAN SUR (U HAB),"19.3327022702,-99.2115351938",LA MAGDALENA CONTRERAS
NAPOLES (AMPL),"19.387303224,-99.1777280682",BENITO JUAREZ
EL VERGEL,"19.3170274024,-99.0809707518",IZTAPALAPA
CASA BLANCA,"19.3322535896,-99.0674332056",IZTAPALAPA
EL TRIUNFO (AMPL),"19.3762465465,-99.1163292593",IZTAPALAPA
CABEZA DE JUAREZ II (U HAB),"19.3847284807,-99.042342046",IZTAPALAPA
LETRAN VALLE,"19.3761321539,-99.1550666351",BENITO JUAREZ
NIOS HEROES DE CHAPULTEPEC,"19.3862840232,-99.1440851495",BENITO JUAREZ
GUERRERO I,"19.4490761845,-99.1437494279",CUAUHTEMOC
NONOALCO-TLATELOLCO (U HAB) II,"19.4533147946,-99.1417694775",CUAUHTEMOC
CHAPULTEPEC MORALES (POLANCO),"19.4343532798,-99.1866020156",MIGUEL HIDALGO
FOVISSTE ARAGON (U HAB),"19.4544328942,-99.0610812396",GUSTAVO A. MADERO
ARAGON INGUARAN,"19.4707239695,-99.1074788222",GUSTAVO A. MADERO
NUEVA SANTA MARIA,"19.4628408836,-99.1679884039",AZCAPOTZALCO
PORVENIR,"19.4711325072,-99.1467833143",AZCAPOTZALCO
SAN ANDRES (BARR),"19.4921465056,-99.1802886139",AZCAPOTZALCO
SAN ANDRES (PBLO),"19.4932654985,-99.1841577999",AZCAPOTZALCO
SAN PEDRO ATOCPAN (PBLO),"19.2055849843,-99.0485933333",MILPA ALTA
